stock_code,trade_date,headline,summary,source
000250,2025-09-22,삼천당제약 강세…신약 기대감에 매수세,신약 파이프라인 기대감이 부각되며 매수세가 몰려 하루 만에 10%대 강세를 보였다.,이데일리
000250,2026-02-26,삼천당제약 상한가…GLP-1 비만치료제 일본 공급계약 기대감,일본향 GLP-1 비만치료제 공급계약 기대감에 외국인·기관이 동반 순매수하며 하루 만에 30% 가까이 급등했다.,알파경제
000660,2025-11-03,SK하이닉스 강세…HBM 수요 기대감 지속,HBM(고대역폭메모리) 수요 기대감이 이어지며 매수세가 유입돼 11%대 급등했다.,헤럴드경제
011790,2026-04-16,SKC 17% 급등…유리기판 사업 기대감 부각,반도체 유리기판 사업에 대한 시장 기대감이 커지며 SKC 주가가 하루 만에 17% 급등해 장중 12만원선을 터치했다.,CBC뉴스
042660,2026-03-04,한화오션 급락…캐나다 잠수함 수주 불확실성,캐나다 잠수함 사업(CPSP) 수주를 둘러싼 불확실성이 불거지며 한화오션 주가가 15%대 급락했다.,돈이되는이야기
000250,2026-07-21,삼천당제약 하루 만에 급락…FDA 훈풍 차익실현 매물,전날 미 FDA Pre-ANDA 답변서 수령 소식에 상한가를 찍었지만 "승인 확정은 아니다"라는 인식이 퍼지며 차익실현 매물이 쏟아져 하루 만에 30% 가까이 급락했다.,서울신문
005930,2026-06-23,삼성전자·SK하이닉스 반도체 대장주 동반 급락,외국인 투자자의 대규모 매도세에 메모리 가격 조정과 공급 과잉 우려가 겹치며 삼성전자·SK하이닉스가 동반 급락했다.,imbc뉴스
000660,2026-06-23,삼성전자·SK하이닉스 반도체 대장주 동반 급락,외국인 투자자의 대규모 매도세에 메모리 가격 조정과 공급 과잉 우려가 겹치며 삼성전자·SK하이닉스가 동반 급락했다.,imbc뉴스
011790,2026-06-11,SKC 다시 급등…유리기판 기대감 재부각,유리기판 사업에 대한 시장 기대감이 다시 부각되며 SKC 주가가 하루 만에 18% 가까이 급등했다.,중앙이코노미뉴스
000660,2026-07-13,코스피 7000선 붕괴…SK하이닉스 9%대 급락,나스닥 약세와 MSCI 선진국지수 편입 불발 이슈 등이 겹치며 외국인·기관이 동반 매도해 코스피가 7000선까지 밀리는 가운데 SK하이닉스도 9%대 급락했다.,헤럴드경제
005930,2026-07-13,코스피 7000선 붕괴…반도체 대형주 동반 급락,나스닥 약세와 MSCI 선진국지수 편입 불발 이슈 등이 겹치며 외국인·기관이 동반 매도해 코스피가 7000선까지 밀리는 가운데 삼성전자도 동반 급락했다.,헤럴드경제
042660,2026-07-30,한화오션 강세…8만원대 안착,저가 매수세가 유입되며 주가가 강세를 보여 8만원대에 안착했다.,CBC뉴스
