stock_code,disclosed_date,title,summary
005930,2025-08-14,반기보고서 (2025.06),상반기 매출과 영업이익이 모두 전년 대비 늘었어요. 반도체(DS) 부문이 이익 대부분을 차지해서 메모리 가격이 꺾이면 실적도 함께 흔들릴 수 있는 구조예요.
005930,2025-11-14,분기보고서 (2025.09),3분기 영업이익이 시장 예상을 웃돌았어요. 다만 이익의 대부분이 메모리 반도체 한 부문에 몰려 있어요 — 사업 부문별 이익 비중을 확인해보세요.
005930,2026-01-29,매출액 또는 손익구조 30% 이상 변동,연간 영업이익이 전년 대비 크게 늘었다고 공시했어요. 좋은 소식이지만 이미 주가에 반영됐을 수 있으니 공시 날짜와 주가 흐름을 같이 보세요.
005930,2026-03-11,사업보고서 (2025.12),연간 실적 확정치와 배당 계획이 담겨 있어요. 부채비율은 낮고 현금성 자산이 풍부한 편이라 재무 안정성 자체는 튼튼한 회사예요.
005930,2026-05-15,분기보고서 (2026.03),1분기 실적이 발표됐어요. 설비투자(CAPEX) 규모가 큰 폭으로 늘었는데 이는 미래 성장 투자인 동시에 단기 현금흐름에는 부담이 될 수 있어요.
000660,2025-08-13,반기보고서 (2025.06),HBM(고대역폭 메모리) 매출 비중이 빠르게 커지고 있어요. 특정 고객사 의존도가 높은 편이라 그 고객사의 주문 변화가 실적에 직결돼요.
000660,2025-11-12,분기보고서 (2025.09),3분기 매출과 영업이익이 분기 기준 역대 최대예요. 다만 메모리 업황은 사이클(호황과 불황의 반복)이 있는 산업이라는 점을 기억하세요.
000660,2026-02-04,매출액 또는 손익구조 30% 이상 변동,연간 영업이익이 전년 대비 급증했다고 공시했어요. 실적 급증 뉴스가 나온 뒤에 사면 이미 고점일 수 있어요 — 공시 원문에서 다음 분기 전망도 확인해보세요.
000660,2026-03-19,사업보고서 (2025.12),연간 실적 확정치가 나왔어요. 차입금이 줄고 현금이 늘어 재무구조가 좋아졌지만 실적이 메모리 가격에 크게 좌우되는 구조는 그대로예요.
000660,2026-05-13,분기보고서 (2026.03),1분기에도 HBM 중심의 성장이 이어졌어요. 경쟁사의 증설 계획이 발표된 상태라 하반기 공급 과잉 가능성을 지적하는 시각도 있어요.
000250,2025-08-14,반기보고서 (2025.06),매출 규모에 비해 연구개발비 비중이 큰 회사예요. 신약 개발이 성공하면 크게 오르지만 실패하면 크게 빠질 수 있는 전형적인 고위험 고수익 구조예요.
000250,2025-10-02,투자판단 관련 주요경영사항 (기술수출 계약),해외 제약사와 기술수출 계약을 맺었다고 공시했어요. 계약금 외 나머지 금액은 개발 성공 단계마다 나눠 받는 조건이라 전체 금액이 다 들어온 건 아니에요.
000250,2025-11-14,분기보고서 (2025.09),아직 본업 이익보다는 신약 기대감이 주가를 움직이는 단계예요. 영업이익이 작아서 주가 변동성이 매우 클 수 있어요.
000250,2026-03-20,사업보고서 (2025.12),연간 실적이 확정됐어요. 임상시험 진행 단계와 일정이 상세히 나와 있으니 투자 전에 어떤 파이프라인이 어디까지 왔는지 꼭 확인하세요.
000250,2026-05-15,분기보고서 (2026.03),1분기 매출은 꾸준하지만 영업이익률은 낮아요. 주가가 실적보다 뉴스(계약 기대감)에 민감하게 반응하는 종목이라는 점에 유의하세요.
011790,2025-08-13,반기보고서 (2025.06),이차전지 소재(동박) 부문의 적자가 이어지고 있어요. 업황 회복 전까지는 실적 부담이 계속될 수 있다고 회사 스스로 밝히고 있어요.
011790,2025-11-13,분기보고서 (2025.09),3분기에도 영업적자가 이어졌어요. 부채비율이 높아지고 있어서 재무 부담을 확인할 필요가 있어요 — 적자 기업은 작은 악재에도 주가가 크게 흔들려요.
011790,2026-01-15,주요사항보고서 (유상증자 결정),운영자금 마련을 위해 유상증자(새 주식 발행)를 결정했어요. 주식 수가 늘면 기존 주주의 지분 가치가 희석될 수 있어요.
011790,2026-03-18,사업보고서 (2025.12),연간 적자폭이 확대됐어요. 반도체 소재 부문은 선방했지만 이차전지 소재 부문 부진이 전체 실적을 끌어내렸어요.
011790,2026-05-14,분기보고서 (2026.03),1분기 적자폭이 줄었어요. 다만 흑자 전환 시점은 아직 불확실하니 '바닥 잡기' 매수는 신중하게 판단하세요.
042660,2025-08-14,반기보고서 (2025.06),수주 잔고(앞으로 만들 배 주문)가 몇 년치 일감으로 쌓여 있어요. 다만 조선업 특성상 수주가 실적(이익)으로 바뀌기까지 시간이 오래 걸려요.
042660,2025-10-28,단일판매·공급계약 체결 (해외 함정 수주),해외에서 대형 함정 건조 계약을 따냈다고 공시했어요. 계약 금액이 연 매출의 상당 부분이지만 실제 매출은 몇 년에 걸쳐 나눠 인식돼요.
042660,2025-11-13,분기보고서 (2025.09),3분기 흑자 기조가 이어졌어요. 과거 저가 수주 물량이 소진되면서 이익률이 좋아지는 흐름이에요.
042660,2026-03-17,사업보고서 (2025.12),연간 흑자 전환에 성공했어요. 다만 환율과 원자재(후판) 가격에 따라 이익이 크게 출렁일 수 있는 사업 구조예요.
042660,2026-05-14,분기보고서 (2026.03),1분기 영업이익이 늘었어요. 방산(함정) 부문 기대감이 주가에 상당 부분 반영돼 있다는 평가가 있으니 밸류에이션을 확인해보세요.
